proCodeId,proId,proCode,codeDesc,associatedWithProCode,minQty,maxQty,minSize,maxSize,chargePerUnit,billWithIntEM,billWithFUEM,leftRightSepration,billAlone,printByRows,splitInMultipleVisits,effectiveSince,effectiveTill,deleted,created_by,update_by,created_date,update_date,created_ip,update_ip,addOn,proName
586,305,CL031,Mini Lift,,1,5,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Lift Surgery
587,306,CB030,Lower Blepharoplasty,,1,2,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Blepharoplasty
588,307,15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid",,1,2,0,0,1,0,0,1,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,bLEPAROPLASTY uPPER
589,306,CB031,"Blepharoplasty, upper eyelid",,1,2,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Blepharoplasty
590,288,CF120,Juvederm Ultra,,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Filler
591,297,24200,"Removal of foreign body, upper arm or elbow area; subcutaneous",,1,1,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Foreign Body Removal
592,297,20525,Removal of foreign body in muscle or tendon sheath; deep or complicated,,1,1,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Foreign Body Removal
593,297,20520,Removal of foreign body in muscle or tendon sheath; simple,,1,1,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Foreign Body Removal
594,0,96467,"Photodynamic therapy by external application of light to destroy premalignant and/or malignant lesions of the skin and adjacent mucosa (eg, lip) by activation of photosensitive drug(s), each phototherapy exposure session",,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,1,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,
595,62,X9991,Repair Secondary Intention,,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,
597,308,J7308,"Aminolevulinic acid HCL topical administration, 20%, SINGLE UNIT DOSAGE FORM",,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Levulan Application
598,309,96567,PHOTODYNAMIC THERAPY BY EXTERNAL APPLICATION OF LIGHT TO DESTROY PREMALIGNANT AND/OR MALIGNANT LESION OF THE SKIN BY ACTIVATION OF PHOTOSENSITIVE DRUG,,1,1,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Photodynamic Therapy
599,310,cb003,Blue Light Application For Acne,,1,1,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Blue Light Application
600,216,X9992,Electrodessication,,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Electrodessication
601,303,x9993,Curratage and Electrodessication,,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Electrodessication
602,286,X9984,pathergy test,,1,1,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Pathergy Test
605,313,X9997,Patch or application test(s) F/U (65 number of tests),,65,65,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Patch Test 65 - Final
606,314,95044,Non-Covered Service - Patch test 65,,65,65,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Patch Test 65 - Application
613,321,87205,Smear Gram/Giemsa Stain,,1,100,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,32037,0000-00-00 00:00:00,10/16/2024 9:09,0,54.177.219.180,0,Gram Stain
614,322,87207,Inclusion Bodies/Parasites Smear,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Inclusion Bodies/Parasites Smear
615,323,87207,Tzanck Smear,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Tzanck Smear
616,324,87101,Fungal Culture,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Fungal Culture
617,325,87210,KOH Wet Mount,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,KOH Wet Mount
618,326,87177,Smear Ova & Parasite,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Smear Ova & Parasite
619,327,88305,Pathology Skin Tissue Level IV,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Pathology Skin Tissue Level IV
620,328,88307,Pathology Skin Tissue Leve V,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Pathology Skin Tissue Leve V
621,329,88309,Pathology Tissue Level VI,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Pathology Tissue Level VI
622,330,88312,PAS Stain,,1,10,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,PAS Stain
623,331,99304,Pathology (Cyst/Tag/Deb./Lipoma) Level 3,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Pathology (Cyst/Tag/Deb./Lipoma) Level 3
624,332,99000,Specimen Handling Transfer,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Specimen Handling Transfer
625,333,87220,KOH Fungi Ova Mites,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,KOH Fungi Ova Mites
626,334,88300,Gross Exam only Level 1,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Gross Exam only Level 1
627,335,88302,Gross + Micro Exam Level 2,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Gross + Micro Exam Level 2
628,336,88329,Pathology Consultation During Surgry,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Pathology Consultation During Surgry
629,337,88346,Immunofluorescent Study,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Immunofluorescent Study
630,338,88331,Frozen Section 1st. Block,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Frozen Section 1st. Block
631,339,88332,Frozen Section Each Additional Block,,2,25,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Frozen Section Each Additional Block
632,340,36416,Collection Capillary Blood,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Collection Capillary Blood
633,341,36415,Collection Venous Blood,,1,1,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Collection Venous Blood
634,342,96902,Microscopic examination of hairs,,1,10,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Microscopic examination of hairs
635,343,87168,Macroscopic examination; arthropod,,1,10,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Macroscopic examination; arthropod
636,344,87169,Macroscopic examination; parasite,,1,10,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Macroscopic examination; parasite
637,345,87070,Speciman for Bactrial Culture & Sensitivity,,1,10,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Specimen for Bactrial Culture & Sensitivity
638,23,CP009,Lactic Acid Peel,,1,100,0,0,0,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Chemical Peel
639,347,G8553,At least one prescription created during encounter was generated and transmitted electronically,,0,0,0,0,0,1,1,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,G-Code
640,348,88305,Confocal,,1,20,0,0,1,1,1,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Confocal
641,349,11200,Removal skin tags mlt fibrq tags any are up to & incl 15,,1,15,0,0,0,1,1,0,0,0,0,12/12/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Tag Destruction 
642,349,11201,"Removal of skin tags, multiple fibrocutaneous tags, any area; each additional 10 lesions, or part thereof (List separately in addition to code for primary procedure)",11200,16,100,0,0,0,1,1,0,0,0,0,12/12/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Tag Destruction 
643,288,CF121,Filler,,1,20,0,0,0,0,0,0,0,0,0,1/21/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Filler
644,350,N0001,Microneedling,,1,20,0,0,1,1,0,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Microneedling
645,351,N0002,Dermaplanning,,1,20,0,0,1,1,1,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Dermaplanning
646,288,CF122,Juvederm Ultra Plus,,1,10,0,0,1,1,1,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Filler
647,288,CF123,Voluma,,1,20,0,0,1,1,1,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Filler
648,288,CF124,Belatero,,1,20,0,0,1,1,1,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Filler
649,352,F0001,Facial,,1,10,0,0,0,1,1,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Facial
650,26,96921,Laser Treatment,,0,0,250,500,0,1,1,0,0,0,0,1/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Laser Treatment
651,26,96922,Laser Treatment,,0,0,501,999.9,0,1,1,0,0,0,0,1/1/2014,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Laser Treatment
652,27,96920,Intense Pulsed Light; Small Treatment Area (0 to 250 sq cm),,1,100,0,250,1,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Intense Pulsed Light
653,27,96921,Intense Pulsed Light; Medium Treatment Area (251 to 500 sq cm),,1,100,251,500,1,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Intense Pulsed Light
654,27,96922,Intense Pulsed Light; General / Extensive Area Treatment,,1,100,0,0,1,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Intense Pulsed Light
655,353,27047,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; less than 3 cm",,1,100,0,2.9,1,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
656,353,27043,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; 3 cm or greater",,1,100,3,100,1,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
657,354,64650,Chemical denervation of eccrine glands,,1,100,0,0,1,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Chemical denervation of eccrine glands
658,353,21555,"Excision, tumor, soft tissue of neck or thorax, subcutaneous; less than 3 cm",,1,10,0,2.9,1,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
659,227,88311,Pathology Special Staining,,1,100,0,0,1,1,1,0,0,0,0,5/6/2015,5/6/2015,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,path
660,38,57061,Destruction Benign,,1,10,0,0,1,0,0,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Destruction Benign
661,353,21011,"Excision, tumor, soft tissue of face or scalp, subcutaneous; less than 2 cm",,1,20,0,1.9,1,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
662,353,21012,"Excision, tumor, soft tissue of face or scalp, subcutaneous; 2 cm or greater",,1,20,2,100,1,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
664,353,28043,"Excision, tumor, soft tissue of foot and toes subcutaneous; less than 1.5 cm",,1,120,0,1.4,1,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
665,353,28041,"Excision, tumor, soft tissue of foot or toe, subcutaneous; 1.5 cm or greater",,1,20,1.5,200,1,1,1,0,0,0,0,1/1/2010,12/31/2050,1,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
666,353,26115,"Excision, tumor, soft tissue of hand or finger, subfascial",,1,20,0,1.4,1,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
